'13159'  ,  KOLKATA JBN EXP
'12680'  ,  CHENNAI EXPRESS
'14214'  ,  GD BSB INTERCIT
'12562'  ,  SWATANTRTA S EX
'13301'  ,  SUBARNAREKHA EX
'18452'  ,  TAPASWINI EXPRE
'14731'  ,  DLI FKA EXP    
'15604'  ,  INTERCITY  EXP 
'17038'  ,  BKN SC EXP     
'53003'  ,  HWH MLDT F PASS
'16227'  ,  TALGUPPA EXP   
'15635'  ,  GUWAHATI EXPRES
'16592'  ,  HAMPI EXP      
'19313'  ,  INDB RJPB  EXP 
'12766'  ,  AMI TPTY SUP EX
'52587'  ,  KGN DJ NG TRAIN
'12339'  ,  COAL FIELD EXP 
'12208'  ,  KGM GARIB RATH 
'14002'  ,  ATTARI DLI EXP 
'16209'  ,  AII MYS EXPRESS
'13043'  ,  HWH RXL EXPRESS
'24370'  ,  TRIVENI EXP    
'12310'  ,  RJPB RAJDHANI  
'18419'  ,  PURI JYG EXP   
'12890'  ,  YPR TATA EXP   
'12381'  ,  POORVA EXPRESS 
'11046'  ,  DIKSHABHUMI EXP
'11108'  ,  BUNDELKHAND EXP
'12429'  ,  LKO NDLS AC SF 
'15636'  ,  DWARKA  EXPRESS
'11021'  ,  TIRUNELVELI EXP
'22182'  ,  NZM JBP SF EXP 
'14889'  ,  JU MBF LINK EXP
'11018'  ,  KIK LTT EXPRESS
'22851'  ,  MAQ VIVEK EXP  
'17407'  ,  PAMANI EXPRESS 
'19260'  ,  BVC KCVL EXP   
'02853'  ,  SUVIDHA SPECIAL
'12031'  ,  AMRITSAR SHTBDI
'05066'  ,  LJN CPR SPL    
'22201'  ,  DURONTO EXPRESS
'52549'  ,  JOYRIDE STEAM  
'15654'  ,  JAMMU GHY EXPRE
'56501'  ,  HUBLI PASS     
'12037'  ,  NDLS LDH SHTBDI
'57272'  ,  RGDA BZA PASS  
'18207'  ,  DURG AII EXP   
'12318'  ,  AKAL TAKHAT EXP
'22409'  ,  ANVT GARIB RATH
'12888'  ,  PURI HWH EXPRES
'15053'  ,  CPR LJN EXP    
'12985'  ,  DEE DOUBLE DCKE
'19712'  ,  BPL JAIPUR EXP 
'57549'  ,  AURANGABAD PSGR
'22472'  ,  BKN INTERCITY  
'12447'  ,  U P SMPRK KRNTI
'12179'  ,  LJN AGC INTRCIT
'13012'  ,  MLDT HWH INT EX
'11449'  ,  JAMMUTAWI EXP  
'12464'  ,  RJSTHN S KRNTI 
'14260'  ,  BSB RMM EXPRESS
'12340'  ,  COALFIELD EXP  
'12962'  ,  AVANTIKA EXP   
'12428'  ,  ANVT REWA EXP  
'12113'  ,  NAGPUR GARIBRAT
'12850'  ,  PA BILASPUR EXP
'16331'  ,  TRIVANDRAM EXP 
'22843'  ,  BSP PNBE EXP   
'12675'  ,  KOVAI EXPRESS  
'12102'  ,  JNANESWARISUPDL
'18421'  ,  PURI AJMER EXP 
'12148'  ,  NZM KOP EXP    
'53172'  ,  LGL SDAH PASS  
'22108'  ,  LATUR CSTM EXP 
'13247'  ,  DNR CAPITAL EXP
'12472'  ,  SWARAJ EXPRESS 
'17412'  ,  MAHALAXMI EXP  
'54801'  ,  JU AII FAST PAS
'08302'  ,  YPR SBP EXP    
'12875'  ,  NEELACHAL EXP  
'18181'  ,  TATA CPR EXP   
'15315'  ,  GOKUL EXP      
'17313'  ,  MAS HUBLI EXP  
'12712'  ,  PINAKINI EXP   
'56101'  ,  CHENNAI EXPRESS
'22387'  ,  BLACKDIAMOND EX
'16032'  ,  ANDAMAN EXPRESS
'22932'  ,  JSM BDTS SF    
'11448'  ,  SHAKTIPUNJ EXP 
'12186'  ,  REWANCHAL EXP  
'12662'  ,  POTHIGAI   EXP 
'16713'  ,  RAMESWARAM EXP 
'18029'  ,  LTT SHALIMAR EX
'12921'  ,  FLYING RANEE   
'12377'  ,  PADATIK EXPRESS
'22631'  ,  ANUVRATEXPRESS 
'53048'  ,  VISWABHARTI PAS
'18047'  ,  AMARAVATHI EXP 
'12273'  ,  NDLS   DURONTO 
'06336'  ,  GUWAHATI EXP   
'11090'  ,  PUNE BGKT EXP  
'12775'  ,  COCANADA EXP   
'83132'  ,  DNR GRD LINK EX
'12036'  ,  AF JP SHATABDI 
'12193'  ,  YPR JBP EXP    
'57257'  ,  KAKINADA PSGR  
'22308'  ,  BKN HWH SUPFAST
'12980'  ,  JP BDTS SUP EXP
'12786'  ,  KACHEGUDA EXP  
'12149'  ,  PUNE PATNA EXP 
'51702'  ,  REWA JBP PASS  
'21108'  ,  BSB KURJ LINK E
'19215'  ,  SAURASHTRA EXP 
'12338'  ,  SANTINIKETANEXP
'14646'  ,  SHALIMAR EXP   
'16862'  ,  PUDUCHERRY EXP 
'16562'  ,  KCVL YPR AC EXP
'12810'  ,  HWH MUMBAI MAIL
'12252'  ,  WAINGANGA EXP  
'17207'  ,  SNSI BZA EXP   
'22603'  ,  KGP VM SF EXP  
'59075'  ,  BHUSAVAL PASS  
'12312'  ,  KALKA MAIL     
'12373'  ,  SDAH RPH INTRCT
'15054'  ,  LJN CPR EXP    
'16313'  ,  CANNANORE EXP  
'12322'  ,  KOLKATA MAIL   
'16687'  ,  NAVYUG EXP     
'07718'  ,  PUSHKARAM SPL  
'14556'  ,  BAREILLY EXP   
'15653'  ,  AMARNATH EXPRES
'22476'  ,  BIKANER AC EXP 
'19225'  ,  BTI JAT EXP    
'12122'  ,  M P SMPRK KRNTI
'29020'  ,  DEHRADUN EXPRES
'12166'  ,  BSB LTT SUP EXP
'16351'  ,  NAGARCOIL EXP  
'15644'  ,  KYQ PURI EXPRES
'12009'  ,  SHATABDI EXP   
'19270'  ,  PBR EXPRESS    
'12944'  ,  UDHYOGKARMI EXP
'11423'  ,  SUR HUBLI EXP  
'15035'  ,  UTR SAMPRK K EX
'16360'  ,  PNBE ERS EXPRES
'12615'  ,  GRAND TRUNK EXP
'12077'  ,  JAN SHATABDI   
'12136'  ,  NAGPUR PUNE EXP
'14317'  ,  IND DDN EXPRESS
'58014'  ,  BKSC HWH  PAS  
'12150'  ,  PNBE PUNE EXP  
'11053'  ,  LTT AZAMGARH EX
'18006'  ,  KORAPUT HWH EXP
'14209'  ,  BDL LKO INTRCTY
'11304'  ,  KOP HYB EXPRESS
'12250'  ,  NDLS HWH YUVA  
'19607'  ,  AII WKLY EXP   
'17308'  ,  BASAVA EXPRESS 
'19716'  ,  LJN JP EXP     
'16054'  ,  MADRAS EXPRESS 
'08244'  ,  BGKT BSP SPL   
'12152'  ,  SAMARSATA EXP  
'22481'  ,  JU DEE SUP     
'58230'  ,  REWA BSP F PASS
'12129'  ,  AZAD HIND EXP  
'59802'  ,  JP RTM FASTPASS
'12052'  ,  JAN SHATABDI EX
'58220'  ,  CHRM BSP PASS  
'14504'  ,  SVDK KLK EXP   
'12357'  ,  DURGIANA EXP   
'15719'  ,  INTERCITY      
'12363'  ,  KOAA HDB SUPF E
'57229'  ,  MTM VSKP PASSR 
'12904'  ,  GOLDN TEMPLE ML
'12143'  ,  LTT SLN SUP EXP
'16733'  ,  RMM OKHA EXPRES
'08245'  ,  BSP BKN SPECIAL
'12225'  ,  KAIFIYAT EXP   
'12286'  ,  NZM SC DURONTO 
'18303'  ,  SBP PURI INT EX
'18101'  ,  TATA JAT EXP   
'22807'  ,  SRC  MAS AC EXP
'22309'  ,  HWH NJP AC EXP 
'12594'  ,  LJN GARIB RATH 
'14525'  ,  SGNR INTERCITY 
'16523'  ,  KARWAR  EXP    
'16594'  ,  SBC NANDED EXP 
'18463'  ,  PRASANTHI EXP  
'12717'  ,  RATNACHALAM EXP
'12244'  ,  SHATABDI EXP   
'14265'  ,  BSB DDN EXP    
'56138'  ,  ONR UAM PASSR  
'59811'  ,  HALDIGHATI PASS
'12116'  ,  SIDDHESWAR EXP 
'13239'  ,  PNBE KOTA EXP  
'14205'  ,  FD DLI EXP     
'12690'  ,  NCJ CHENNAI EXP
'12276'  ,  ALD DURONTO EXP
'12516'  ,  GHY TVC EXPRESS
'22626'  ,  MAS DOUBLE DECK
'14033'  ,  JAMMU MAIL     
'12336'  ,  BHAGALPUR EXP  
'11087'  ,  VERAVAL PUNE EX
'12818'  ,  JHARKHAND EXPRE
'22694'  ,  BANGLORE RAJDHN
'12352'  ,  DANAPUR HWH EXP
'12996'  ,  UDZ BDTS SF EXP
'12740'  ,  VSKP GARIB RATH
'12492'  ,  MAUR DHAWAJ EXP
'23010'  ,  DOON EXXPRESS  
'15715'  ,  GARIB NAWAJ EXP
'13049'  ,  AMRITSAR EXP   
'12669'  ,  GANGAKAVERI EXP
'13141'  ,  TESTA TORSA EXP
'12878'  ,  NDLS RNC G RATH
'12923'  ,  INDB NAGPUR EXP
'12910'  ,  BDTS GARIB RATH
'53049'  ,  HWH MKA PAS    
'12655'  ,  NAVJEEVAN EXP  
'14114'  ,  LINK EXPRESS   
'22692'  ,  BANGLORE RJDHNI
'11050'  ,  AHMEDABAD EXP  
'18210'  ,  R DRZ EXPRESS  
'59442'  ,  AHMEDABAD PASS 
'59812'  ,  HALDIGHATI PASS
'05116'  ,  SVDK CPR SPL   
'29060'  ,  SURAT INTERCITY
'12418'  ,  PRAYAG RAJ EXP 
'02512'  ,  KYQ PUNE SPECIA
'13135'  ,  KOAA JYG EXP   
'22847'  ,  VSKP LTT EXPRES
'10002'  ,  SATPURA EXPRESS
'17312'  ,  VSG CHENNAI EXP
'12543'  ,  TIRUPATHI EXP  
'13157'  ,  TIRHUT EXPRESS 
'18192'  ,  UTSARG EXP     
'15616'  ,  INTERCITY EXP  
'12591'  ,  GKP YPR EXPRESS
'13006'  ,  ASR HWH MAIL   
'12369'  ,  KUMBHA EXPRESS 
'12578'  ,  BAGMATI EXPRESS
'19051'  ,  SHRAMIK EXPRESS
'18624'  ,  HTE RJPB EXP   
'12774'  ,  SC SHM AC  EXP 
'25910'  ,  NTSK JIVACHH LI
'17235'  ,  NAGERCOIL EXP  
'12207'  ,  JAMMU GARIB RAT
'12240'  ,  JP BCT DURONTO 
'12730'  ,  PUNE EXPRESS   
'11452'  ,  INTERCITY EXP  
'52228'  ,  TPU ASH EXPRESS
'14227'  ,  VARUNA EXPRESS 
'12882'  ,  PURI HWH G RATH
'13288'  ,  SOUTH BIHAR EXP
'12947'  ,  AZIMABAD EXPRES
'19307'  ,  CHANDIGARH EXP 
'17226'  ,  AMARAVATI EXP  
'53047'  ,  VISWAVARATI PAS
'59386'  ,  PANCHVALLEY  PA
'17213'  ,  NS NSL EXP     
'18473'  ,  PURI JU EXPRESS
'12610'  ,  CHENNAI EXPRESS
'14005'  ,  LICHCHAVI EXP  
'28182'  ,  KIR TATA LNK EX
'18409'  ,  SRIJAGANNATHEXP
'07239'  ,  PUSHKARAM SPL  
'19653'  ,  RATLAM AJMER EX
'12491'  ,  MOUR DHWAJ EXP 
'22462'  ,  SHRI SHAKTI EXP
'59026'  ,  SURAT FAST PASS
'08891'  ,  BSP SVDK SPL   
'12180'  ,  LJN  INTERCITY 
'54601'  ,  HSR ASR PSNGR  
'12405'  ,  GONDWANA EXPRES
'22855'  ,  SRC TPTY SF EXP
'12384'  ,  INTERCITY  EXP 
'59394'  ,  HBJ DHD FAST PA
'29059'  ,  HAPA INTERCITY 
'57130'  ,  HYB BJP PSGR   
'17064'  ,  AJANTA EXPRESS 
'11038'  ,  GKP PUNE EXPRES
'12196'  ,  AII AF INTERCIT
'52572'  ,  HIMALAYAN WHEEL
'59821'  ,  KOTA BIX PASS  
'12807'  ,  SAMTA EXPRESS  
'22892'  ,  RNC HWH INT EXP
'52994'  ,  AK MHOW  F  PAS
'12205'  ,  NANDA DEVI EXP 
'12650'  ,  KTK SMPRK K EXP
'12438'  ,  NZM SC RJDHNI  
'19328'  ,  UDZ RATLAM EXP 
'18191'  ,  UTSARG EXP     
'12223'  ,  LTT ERS DURONTO
'12044'  ,  NDLS SHATABDI  
'12505'  ,  NORTH EAST EXP 
'22457'  ,  NED UHL SF EXP 
'12705'  ,  GNT SC EXP     
'52974'  ,  AK UJN FAST PAS
'58114'  ,  BSP TATA PASS  
'13509'  ,  ASN GD EXPRESS 
'12519'  ,  LTT KYQ AC EXP 
'19017'  ,  SAU JANATA EXP 
'12294'  ,  ALD LTT DURONTO
'15116'  ,  DLI CPR EXP    
'12345'  ,  SARAIGHAT EXP  
'12630'  ,  YPR S KRNTI EXP
'19020'  ,  DEHRADUN EXP   
'12593'  ,  LJN BPL G R    
'51402'  ,  MMR PUNE PASS  
'13307'  ,  GANGASUTLEJ EXP
'15028'  ,  MAURYA EXPRESS 
'13106'  ,  BUI SDAH EXP   
'51033'  ,  SHIRDI FAST PAS
'19039'  ,  AVADH EXPRESS  
'22622'  ,  CAPE RMM EXP   
'22933'  ,  BDTS JP SF EXP 
'12069'  ,  JANSHATABDI EXP
'12172'  ,  HW LTT AC SF   
'12640'  ,  BRINDAVAN EXP  
'19065'  ,  BDTS BGKT EXP  
'22804'  ,  SBP HWH SUP EXP
'12285'  ,  NZM DURONTO  EX
'12781'  ,  SWARNA JAYANTHI
'59801'  ,  KOTA JAIPUR PAS
'16102'  ,  CHENNAI EXPRESS
'50103'  ,  RATNAGIRI PASS 
'16182'  ,  SILAMBU EXPRESS
'18449'  ,  B NATH DHAM EXP
'19056'  ,  JU BL EXPRESS  
'13484'  ,  FARAKKA EXPRESS
'13137'  ,  KOAA AMH EXPRES
'12367'  ,  VIKRAMSHILA EXP
'12327'  ,  UPASANA EXPRESS
'14307'  ,  PRG BE EXPRESS 
'25014'  ,  CORBET PRK LINK
'54703'  ,  ABS JU PASSENGR
'59014'  ,  SURAT PASSENGER
'22879'  ,  BBS TPTY SUP EX
'12170'  ,  PUNE INTERCITY 
'04415'  ,  BJU NDLS AC SPL
'22114'  ,  KCVL LTT SF EXP
'12776'  ,  COCANADA EXP   
'17651'  ,  KACHEGUDA  EXP 
'57478'  ,  GTL TPTY PASS  
'13233'  ,  RAJGRIHA EXPRES
'01152'  ,  DHI CSN T F SPL
'22859'  ,  PURI CHENNAI EX
'16591'  ,  HAMPI EXPRESS  
'19202'  ,  PBR SC EXPRESS 
'17401'  ,  TPTY MTM NS EXP
'16206'  ,  TALGUPPA EXP   
'12034'  ,  NDLS CNB SHT   
'16093'  ,  LUCKNOW EXP    
'13114'  ,  HAZARDUARI EXP 
'22856'  ,  TPTY SRC SUP EX
'18415'  ,  BBN PURI EXP   
'12846'  ,  BHUBANESHWAR EX
'24042'  ,  MUSSOORIE EXP  
'17606'  ,  KCG  MAQ  EXP  
'12716'  ,  ASR NED EXPRESS
'18201'  ,  DURG NTV EXP   
'15203'  ,  BJU LJN EXP    
'54077'  ,  BE DLI PSNGR   
'17404'  ,  NS  TPTY EXP   
'12174'  ,  UDYOG NAGRI EXP
'13103'  ,  BHAGIRATHI EXP 
'18621'  ,  PATLIPUTRA EXP 
'58701'  ,  SDL ABKP PASS  
'17408'  ,  TIRUPATI EXPRES
'12321'  ,  HWH MUMBAI MAIL
'12683'  ,  BANGALORE SF EX
'18239'  ,  GAD NGP EXP    
'18477'  ,  UTKAL EXPRESS  
'14887'  ,  KLK BME EXPRESS
'17644'  ,  CIRCAR EXP     
'22876'  ,  PRR KGP EXP    
'13053'  ,  HWH SURI EXP   
'15910'  ,  AVADH ASSAM EXP
'52574'  ,  JOYRIDE DIESEL 
'15622'  ,  ANVT KYQ EXPRES
'12316'  ,  ANANYA EXPRESS 
'12565'  ,  BIHAR S KRANTI 
'08502'  ,  SC VSKP SPL    
'12118'  ,  MANMAD LTT EXP 
'12452'  ,  SHRAM SHKTI EXP
'19402'  ,  LKO ADI EXP    
'04405'  ,  LKO NDLS SPL   
'15057'  ,  GKP ANVT EXP   
'12291'  ,  YPR CHENNAI EXP
'14659'  ,  DLI JSM EXPRESS
'12552'  ,  KYQ YPR AC EXP 
'12137'  ,  PUNJAB MAIL    
'22808'  ,  MAS SRC AC EXP 
'18010'  ,  SANTRAGACHI EXP
'22829'  ,  BHUJ SHM EXP   
'52571'  ,  RED PANDA      
'25631'  ,  BKN GHY EXPRESS
'12393'  ,  S KRANTI SUP EX
'16345'  ,  NETRAVATI EXP  
'11303'  ,  HYB KOP EXPRESS
'14732'  ,  FKA DLI EXP    
'22412'  ,  NDLS NHLN AC SF
'13134'  ,  BSB SDAH EXPRES
'12168'  ,  BSB LTT SUP EXP
'56502'  ,  UBL BZA PASSR  
'12728'  ,  GODAVARI EXP   
'14215'  ,  GANGA GOMTI EXP
'19224'  ,  JAT ADI EXPRESS
'16218'  ,  SNSI MYS EXPRES
'11203'  ,  NGP JAIPUR EXP 
'12808'  ,  SAMTA EXPRESS  
'12414'  ,  JAMMU AII EXP  
'22828'  ,  SURAT PURI EXP 
'12508'  ,  GHY TVC EXPRESS
'12325'  ,  KOAA NLDM EXP  
'12977'  ,  MARU SAGAR EXP 
'18478'  ,  KALINGAUTKALEXP
'12450'  ,  GOA SMPRK K EXP
'12804'  ,  VSKP SWRN J EXP
'53520'  ,  GRD LINK PAS EX
'17620'  ,  NED AWB EXP    
'12007'  ,  SHATABDI EXP   
'14151'  ,  CNB ANVT EXP   
'14724'  ,  KALINDI EXPRESS
'19023'  ,  FZR JANATA EXP 
'12210'  ,  CNB GARIB RATH 
'12911'  ,  BL HARIDWAR EXP
'12261'  ,  HOWRAH DURONTO 
'04942'  ,  SVDK LKO SPL   
'59077'  ,  BHUSAVAL PASS  
'19420'  ,  ADI CHENNAI EXP
'52547'  ,  JOYRIDE STEAM  
'22831'  ,  HWH SSPN EXPRES
'18517'  ,  KRBA VSKP EXP  
'12020'  ,  SHATABDI EXPRES
'12542'  ,  LTT GKP SUP EXP
'52993'  ,  MHOW AK FAST PA
'15605'  ,  JTTN INTERCITY 
'12201'  ,  KCVL GARIB RATH
'12734'  ,  NARAYANADRI EXP
'15716'  ,  GARIB NAWAJ EXP
'83131'  ,  GRD DNR LINK   
'12054'  ,  ASR HW JNSHTBDI
'12040'  ,  ANVT KGM SHT   
'22132'  ,  GYAN GANGA SF  
'10215'  ,  MADGAON ERS EXP
'12195'  ,  AF AII INTERCIT
'15930'  ,  DBRG MS EXPRESS
'22117'  ,  KCG DOUBLE DECK
'12770'  ,  SEVEN HILLS EXP
'56264'  ,  MYSORE PASS    
'22816'  ,  ERS BILASPUR EX
'12633'  ,  KANYAKUMARI EXP
'22119'  ,  KCG DOUBLE DECK
'58865'  ,  BTC JBP PASS   
'15640'  ,  GHY PURI EXPRES
'51028'  ,  FAST PASSENGER 
'04401'  ,  ANVT SVDK SPL  
'14710'  ,  PURI BKN EXPRES
'18001'  ,  KANDARI EXPRESS
'12673'  ,  CHERAN EXPRESS 
'14682'  ,  JUC NDLS EXPRES
'04735'  ,  BKN HW SPL     
'11067'  ,  SAKET EXPRESS  
'11008'  ,  DECCAN EXPRESS 
'12359'  ,  PNBE GARIB RATH
'12901'  ,  GUJARAT MAIL   
'19944'  ,  ADI UDZ EXPRESS
'12773'  ,  SHM SC AC  EXP 
'11016'  ,  KUSHINAGAR EXP 
'19040'  ,  AVADH EXPRESS  
'11023'  ,  SAHYADRI EXPRES
'13512'  ,  TATANAGAR  EXP 
'13423'  ,  BGP AII EXPRESS
'19578'  ,  HAPA TEN EXPRES
'16057'  ,  SAPTHAGIRI EXP 
'13120'  ,  DLI  SDAH EXP  
'52546'  ,  JOYRIDE DIESEL 
'12989'  ,  AJMER EXPRESS  
'14322'  ,  BAREILLY EXPRES
'16177'  ,  ROCK FORT EXP  
'22604'  ,  KHARAGPUR EXP  
'12515'  ,  GUWAHATI EXP   
'22106'  ,  INDRAYANI EXP  
'12687'  ,  DEHRADUN EXP   
'12681'  ,  COIMBATORE EXP 
'13245'  ,  CAPITAL EXPRESS
'12484'  ,  ASR KCVL EXPRES
'16535'  ,  GOLGUMBAZ EXP  
'12925'  ,  PASCHIM EXPRESS
'22214'  ,  DURONTO EXPRESS
'12372'  ,  JSM HWH SF EXP 
'12032'  ,  AMRITSAR SHTBDI
'13163'  ,  HATE BAZARE EXP
'51455'  ,  PUNE SUR PASS  
'16343'  ,  AMRITHA EXPRESS
'12828'  ,  PRR HWH EXP    
'52548'  ,  JOYRIDE STEAM  
'17643'  ,  CIRCAR EXP     
'16724'  ,  ANANTAPURI EXP 
'18502'  ,  GIMB VSKP EXP  
'09807'  ,  KOTA NZM SUP SP
'22453'  ,  RAJYA RANI EXP 
'12395'  ,  ZIYARAT EXPRESS
'11105'  ,  PRATHAM S S EXP
'13007'  ,  U ABHATOOFAN EX
'15012'  ,  CDG LJN EXPRESS
'19264'  ,  DEE PORBNDR EXP
'14224'  ,  BUDHPURNIMA EXP
'50106'  ,  SWV DIVA PASS  
'12337'  ,  SANTINIKATANEXP
'19226'  ,  JAT BTI EXP    
'12526'  ,  DBRG KOAA EXP  
'22184'  ,  HBJ DOUBLE DECK
'12304'  ,  POORVA EXPRESS 
'16318'  ,  HIMSAGAR EXP   
'19403'  ,  SULTANPUR EXP  
'17025'  ,  MUGR SC EXPRESS
'15052'  ,  GKP KOLKATA EXP
'12301'  ,  KOLKATA RAJDHNI
'18111'  ,  TATA YPR EXP   
'16517'  ,  KANNUR  EXP    
'22645'  ,  AHILYANAGARI EX
'11044'  ,  LOKAMANYA TT EX
'13483'  ,  FARAKKA EXPRESS
'16339'  ,  NAGARCOIL EXP  
'18309'  ,  NAGAVALI EXPRES
'17229'  ,  SABARI EXPRESS 
'16859'  ,  MS MANGALORE EX
'12616'  ,  G T EXPRESS    
'13026'  ,  BPL HOWRAH EXP 
'05028'  ,  SUVIDHA SPL    
'19324'  ,  INDB INTERCITY 
'15647'  ,  GUWAHATI EXPRES
'17201'  ,  GOLCONDA EXP   
'15657'  ,  KANCHANJANGA EX
'16524'  ,  BANGALORE EXP  
'12509'  ,  GUWAHATI EXP   
'12760'  ,  CHARMINAR EXP  
'12685'  ,  MANGALORE EXP  
'13050'  ,  ASR HWH EXPRESS
'17605'  ,  MAQ KCG EXPRESS
'04402'  ,  SVDK ANVT SPL  
'58219'  ,  BSP CHRM PASS  
'12557'  ,  SAPT KRANTI EXP
'19418'  ,  ALD ADI EXP    
'17017'  ,  RJT SC EXPRESS 
'13242'  ,  RJPB BANKA EXP 
'12525'  ,  KOAA DBRG EXP  
'12498'  ,  SHANE PUNJAB   
'12245'  ,  HWH YPR DURONTO
'14555'  ,  BAREILLY DLI EX
'12056'  ,  NDLS JANSHATABD
'24512'  ,  KRJ ALD LINK EX
'57515'  ,  DAUND NANDED PA
'12431'  ,  RAJDHANI EXP   
'22615'  ,  TPTY CBE  EXP  
'13119'  ,  SDAH  DLI EXP  
'19022'  ,  LJN BDTS EXP   
'58529'  ,  DURG VSKP PGR  
'22410'  ,  GAYA GARIB RATH
'12843'  ,  PURI  ADI EXP  
'22628'  ,  TPJ EXPRESS    
